state,year,percent_highschool,percent_college
Alabama,2006,82.1,20.8
Alaska,2006,92,27.7
Arizona,2006,83.1,24.5
Arkansas,2006,82.5,19
California,2006,80.8,29.8
Colorado,2006,90,36.4
Connecticut,2006,88.4,36
Delaware,2006,86,26.2
Florida,2006,86.7,27.2
Georgia,2006,84.2,28.1
Hawaii,2006,88.7,32.3
Idaho,2006,88.9,25.1
Illinois,2006,87.6,31.2
Indiana,2006,88.2,21.9
Iowa,2006,90.4,24.7
Kansas,2006,90.2,31.6
Kentucky,2006,79.9,20.2
Louisiana,2006,79.7,21.2
Maine,2006,89.3,26.9
Maryland,2006,87.2,35.7
Massachusetts,2006,89.9,40.4
Michigan,2006,89.7,26.1
Minnesota,2006,93,33.5
Mississippi,2006,81.1,21.1
Missouri,2006,87.1,24.3
Montana,2006,91.4,25.1
Nebraska,2006,91,27.2
Nevada,2006,85.6,20.8
New Hampshire,2006,91.6,32.1
New Jersey,2006,86.7,35.6
New Mexico,2006,81.8,26.7
New York,2006,85.1,32.2
North Carolina,2006,84.2,25.6
North Dakota,2006,88.7,28.7
Ohio,2006,88.1,23.3
Oklahoma,2006,87.5,22.9
Oregon,2006,89.7,28.3
Pennsylvania,2006,87.5,26.6
Rhode Island,2006,84,30.9
South Carolina,2006,83.1,22.6
South Dakota,2006,89.9,25.3
Tennessee,2006,80.7,22
Texas,2006,78.7,25.5
Utah,2006,91.2,27
Vermont,2006,91,34
Virginia,2006,86.5,32.1
Washington,2006,91.1,31.4
West Virginia,2006,81.5,15.9
Wisconsin,2006,91.1,24.6
Wyoming,2006,91.1,20.8
