state,year,percent_highschool,percent_college
Alabama,1999,81.1,21.8
Alaska,1999,92.8,25.5
Arizona,1999,83.1,24.2
Arkansas,1999,78.9,17.3
California,1999,80.4,27.1
Colorado,1999,90.4,38.7
Connecticut,1999,83.7,33.5
Delaware,1999,84.5,24
Florida,1999,82.7,21.6
Georgia,1999,80.7,21.5
Hawaii,1999,88,26.2
Idaho,1999,84.8,20.8
Illinois,1999,85.4,25.6
Indiana,1999,82.9,18.4
Iowa,1999,89.7,21.7
Kansas,1999,87.6,26.5
Kentucky,1999,78.2,19.8
Louisiana,1999,78.3,20.7
Maine,1999,88.9,22.9
Maryland,1999,84.7,34.7
Massachusetts,1999,85.1,31
Michigan,1999,85.5,21.3
Minnesota,1999,91.1,32
Mississippi,1999,78,19.2
Missouri,1999,85,23
Montana,1999,88.8,24
Nebraska,1999,89.3,20.4
Nevada,1999,86.4,20.2
New Hampshire,1999,86.5,27.2
New Jersey,1999,87.4,30.5
New Mexico,1999,80.9,24.5
New York,1999,81.9,26.9
North Carolina,1999,79.8,23.9
North Dakota,1999,84.9,22.3
Ohio,1999,86.1,25.5
Oklahoma,1999,83.5,23.7
Oregon,1999,86.2,26.8
Pennsylvania,1999,86.1,23.9
Rhode Island,1999,80.9,26.8
South Carolina,1999,78.6,20.9
South Dakota,1999,88.7,25.6
Tennessee,1999,79.1,17.7
Texas,1999,78.2,24.4
Utah,1999,91,27.9
Vermont,1999,89.3,28.3
Virginia,1999,87.3,31.6
Washington,1999,91.2,28.6
West Virginia,1999,75.1,17.9
Wisconsin,1999,86.8,23.6
Wyoming,1999,90.7,22.3
