state,year,percent_highschool,percent_college
Alabama,2003,79.9,22.7
Alaska,2003,90.6,24
Arizona,2003,83.8,26
Arkansas,2003,80.9,17.4
California,2003,81.1,29.8
Colorado,2003,88.7,36
Connecticut,2003,87.5,33.5
Delaware,2003,88.7,28.1
Florida,2003,84.7,25.8
Georgia,2003,85.1,25
Hawaii,2003,88.5,27
Idaho,2003,88.2,22.5
Illinois,2003,85.9,28.1
Indiana,2003,86.4,22.2
Iowa,2003,89.7,24.6
Kansas,2003,88.6,31
Kentucky,2003,82.8,21.3
Louisiana,2003,79.8,22.3
Maine,2003,86.6,23.7
Maryland,2003,87.6,37.2
Massachusetts,2003,87.1,37.6
Michigan,2003,87.6,23.3
Minnesota,2003,91.6,32.7
Mississippi,2003,81.2,19.3
Missouri,2003,88.3,26.6
Montana,2003,90.1,24.9
Nebraska,2003,90.8,26.8
Nevada,2003,85.6,21.2
New Hampshire,2003,92.1,34
New Jersey,2003,86.2,33.4
New Mexico,2003,81.7,23.7
New York,2003,84.2,29.6
North Carolina,2003,81.4,23.8
North Dakota,2003,89.7,25.2
Ohio,2003,87.2,25
Oklahoma,2003,85.7,24.3
Oregon,2003,86.9,26.4
Pennsylvania,2003,86,24.8
Rhode Island,2003,81,27.6
South Carolina,2003,80.8,22.3
South Dakota,2003,88.7,23.9
Tennessee,2003,81,23.5
Texas,2003,77.2,24.7
Utah,2003,89.4,28.4
Vermont,2003,88.9,31.3
Virginia,2003,87.8,34.2
Washington,2003,89.1,28.8
West Virginia,2003,78.7,15.3
Wisconsin,2003,88.6,24.1
Wyoming,2003,90.9,20.7
