State,Year,Total_revenue,Taxes,Total_expenditure,Education,Public_welfare,Hospitals,Health
Alabama,2012,28970151,9049294,27686973,10266418,6383487,1919745,622944
Alaska,2012,14983391,7049398,11729460,2595207,2018001,77000,348287
Arizona,2012,32134279,12996421,31888001,9113877,8287322,694614,1981599
Arkansas,2012,18442541,8287744,19618284,7603248,5170079,922948,290129
California,2012,250971451,115178568,269054703,72709788,69087772,11272752,7827685
Colorado,2012,25687893,10262977,28238168,9364476,5474323,665485,977094
Connecticut,2012,27327938,15421035,28370101,6721227,6726928,1292405,941149
Delaware,2012,7948610,3280185,8315681,2513271,1865564,49911,433897
Florida,2012,83669700,33842727,79482176,22977169,21613069,965624,3767515
Georgia,2012,40644118,16715216,44751105,17230061,10639946,963795,1181602
Hawaii,2012,10600634,5516146,11565554,3502973,1988186,753463,492387
Idaho,2012,8308086,3374304,8301262,2641571,2018744,50468,170951
Illinois,2012,68901523,36257762,72622240,17242182,17259799,1339012,2500639
Indiana,2012,35959819,16329595,35834759,14771969,8571389,163335,556471
Iowa,2012,21079797,7932494,20407524,6273695,5109297,1508973,250487
Kansas,2012,16144318,7418341,16747356,6027749,3447299,1413684,401351
Kentucky,2012,25683865,10505794,29349094,9539824,7277235,1161717,702858
Louisiana,2012,26894374,8994053,31679177,8998450,6300387,1949705,567016
Maine,2012,8418007,3777130,9128086,2079722,2918615,128578,503202
Maryland,2012,36104189,17094560,41139083,11532059,9823911,498376,2097882
Massachusetts,2012,49237223,22820892,56684677,12945708,15183735,483248,1116922
Michigan,2012,63986268,23919741,61726982,22912611,14815977,2722246,1302362
Minnesota,2012,38553800,20560540,38612582,12658510,12061690,536623,344840
Mississippi,2012,18765204,6953365,20051298,5561568,5440263,1051451,418887
Missouri,2012,31065599,10802052,31102862,9059827,8153718,1653255,1499487
Montana,2012,6572074,2459324,7062896,1818019,1356335,46671,168359
Nebraska,2012,9814709,4366217,9525518,3301868,2268148,254981,451811
Nevada,2012,14317867,6775112,13477122,4265283,2255459,258807,252479
New Hampshire,2012,7149983,2205045,7423747,2109971,1761943,45336,94448
New Jersey,2012,57582037,27456175,68121744,16770319,14800551,2143974,1227773
New Mexico,2012,15264927,5162396,17059410,5337423,3925202,945585,471493
New York,2012,179604728,71545745,181226180,41988956,52276732,6333165,9082315
North Carolina,2012,56469252,22712199,53624402,19600485,12830133,1693182,1403801
North Dakota,2012,7772601,4146149,6315436,1843777,909335,52580,127997
Ohio,2012,72470829,25929094,76524453,21068295,19062009,2949601,2364838
Oklahoma,2012,23248146,8823958,22598865,7393658,5800012,281726,890129
Oregon,2012,25087703,8728095,26862451,7236153,6151377,1570228,766221
Pennsylvania,2012,78467061,32949917,87339608,22021320,22498613,3551268,2986776
Rhode Island,2012,7987246,2868188,8325783,1952295,2328052,69926,160332
South Carolina,2012,26132172,8062639,27668441,8112243,5896867,1514075,997756
South Dakota,2012,4351612,1521928,4424154,1216415,933462,21840,172897
Tennessee,2012,30835976,12015213,31497959,9862265,10894369,408545,960344
Texas,2012,130720023,48596548,125952731,49004218,31158127,4862605,2687506
Utah,2012,15600626,5809955,17109026,6802778,2924560,1066021,353963
Vermont,2012,6348888,2757370,5959250,2341488,1497934,16292,183664
Virginia,2012,43137517,18144897,46759950,15063078,9223748,3381237,1061482
Washington,2012,40665949,17624715,45501471,15147114,8337257,2157319,1795863
West Virginia,2012,13247295,5285773,13222912,4335500,3293863,125062,361623
Wisconsin,2012,35880592,15995335,37753491,11220247,8380447,1270327,755964
Wyoming,2012,6599126,2304628,5773573,1684155,761080,6803,278523
