State,Year,Total_revenue,Taxes,Total_expenditure,Education,Public_welfare,Hospitals,Health
Alabama,1996,12741148,5257771,12126587,2240613,2325418,815698,500625
Alaska,1996,8253549,1519082,5629502,593282,605975,31075,100824
Arizona,1996,12594269,6409395,11898144,1574266,2125515,56490,416176
Arkansas,1996,8646187,3702141,7050461,1164823,1583327,341661,246549
California,1996,123342274,57746664,113361355,10851731,13085112,2779960,2567366
Colorado,1996,11866383,4820760,10216917,2094607,1595780,138546,205163
Connecticut,1996,14349487,7830171,13529622,1126659,2643590,974436,289629
Delaware,1996,3614209,1683861,3248174,558680,462344,58416,139611
Florida,1996,41708897,19728262,36454217,3083929,7106265,526769,1945818
Georgia,1996,22408977,10292371,20013038,3292296,4623301,624146,258605
Hawaii,1996,6383347,3079404,5946676,1548266,902542,181127,291569
Idaho,1996,4383680,1857006,3501298,573550,528432,37358,59795
Illinois,1996,37221576,17508290,34111276,3767628,8462441,794077,1436125
Indiana,1996,16549937,8437031,15367687,3246799,2803041,206466,348200
Iowa,1996,9244859,4440540,8853150,1416914,1662714,518934,99104
Kansas,1996,7864247,3978761,7275754,1092504,1093271,321986,177350
Kentucky,1996,13788272,6489256,11842386,1887293,2752030,357032,149784
Louisiana,1996,14296187,4906283,14029815,1913816,2898411,1106314,384992
Maine,1996,4266881,1896564,4239839,493236,1242819,58821,174229
Maryland,1996,16041152,8166692,15554009,1920449,2923187,311714,486590
Massachusetts,1996,25196723,12455370,24949729,1981660,5701557,896689,1283063
Michigan,1996,37617587,18699069,35079667,4890235,6330157,1448596,588030
Minnesota,1996,20525269,10242646,17325287,2219515,3674086,605893,334353
Mississippi,1996,8864863,3860523,8216867,1020445,1581409,380099,203528
Missouri,1996,17050787,7210351,12944475,1636791,2872423,478481,539615
Montana,1996,3430411,1211162,3136205,480105,500784,32655,113413
Nebraska,1996,4998908,2369462,4489725,782010,966389,286905,84541
Nevada,1996,6003479,2895346,4831342,525716,630071,61659,74598
New Hampshire,1996,3560835,837092,3240034,412675,910330,39522,69805
New Jersey,1996,35857209,14384897,32314887,2986171,5848443,928044,527613
New Mexico,1996,8143134,3060637,6747602,980927,1118490,308578,268229
New York,1996,94277491,34150039,82420166,5704128,16331896,3734213,2000549
North Carolina,1996,23387492,11882318,21220754,3191819,3893279,747433,380636
North Dakota,1996,2568635,985327,2063612,417905,360608,43076,24448
Ohio,1996,43708254,15649492,35517336,4431484,6475851,964128,683516
Oklahoma,1996,10609104,4617688,9265486,1436800,1610161,282472,242238
Oregon,1996,15722871,4351035,11857897,1225838,2074106,443076,179633
Pennsylvania,1996,42796060,18295012,38698546,5043474,8453774,1514784,439839
Rhode Island,1996,4275350,1553930,4061406,447409,860191,89839,241935
South Carolina,1996,12601859,5113034,12399928,1963298,2548823,597611,638859
South Dakota,1996,2283576,730251,1983498,278352,392508,48410,58366
Tennessee,1996,14759004,6179787,13722981,2123764,3658642,512404,545076
Texas,1996,51459160,21611887,46081839,6442687,9992752,1893708,758578
Utah,1996,6764359,2905128,6171775,1332268,938578,281063,118245
Vermont,1996,2146205,841029,2061085,382026,504473,9146,51296
Virginia,1996,20186626,8900413,17832931,3338496,2596566,1090705,349381
Washington,1996,24790010,10586463,21085737,3166876,3770466,551833,778908
West Virginia,1996,6859793,2764522,6576406,839836,1588057,81311,114122
Wisconsin,1996,24365145,9585513,16989913,2218127,2817867,438135,151776
Wyoming,1996,2432404,710512,2062116,222909,248810,31758,57376
